Attendance Date,Employee Code,Department,Begin Time,End Time,In Time,Out Time,Duration,LateBy,EarlyBy,LeaveType,Leave Status,Punch Records,Over Time,Att Status,Status Code,Employee Device Code
17-May-2018,85,Default,09:30,18:30,09:49:56,,00:00,00:20,00:00,,0,09:49:56(in);,0,Present,P,85
16-May-2018,86,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,86
17-May-2018,86,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,86
16-May-2018,87,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,87
17-May-2018,87,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,87
16-May-2018,88,Default,09:30,18:30,10:12:17,19:19:56,09:00,00:42,00:00,,0,10:12:17(in);19:19:56(in);,0,Present,P,88
17-May-2018,88,Default,09:30,18:30,10:33:15,,00:00,01:03,00:00,,0,10:33:15(in);,0,Present,P,88
16-May-2018,89,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,89
17-May-2018,89,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,89
16-May-2018,90,Default,09:30,18:30,09:51:21,18:55:52,09:00,00:21,00:00,,0,09:51:21(in);18:55:52(in);,0,Present,P,90
17-May-2018,90,Default,09:30,18:30,09:39:24,,00:00,00:00,00:00,,0,09:39:24(in);,0,Present,P,90
16-May-2018,91,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,91
17-May-2018,91,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,91
16-May-2018,92,Default,09:30,18:30,09:19:52,18:52:01,09:00,00:00,00:00,,0,09:19:52(in);18:52:01(in);,32,Present,P,92
17-May-2018,92,Default,09:30,18:30,09:30:49,,00:00,00:00,00:00,,0,09:30:49(in);,0,Present,P,92
16-May-2018,93,Default,09:30,18:30,08:43:54,19:02:55,09:00,00:00,00:00,,0,08:43:54(in);19:02:55(in);,79,Present,P,93
17-May-2018,93,Default,09:30,18:30,08:59:04,,00:00,00:00,00:00,,0,08:59:04(in);,0,Present,P,93
16-May-2018,94,Default,09:30,18:30,09:39:40,18:27:37,08:48,00:00,00:00,,0,09:39:40(in);18:27:37(in);,0,Present,P,94
17-May-2018,94,Default,09:30,18:30,09:47:09,,00:00,00:17,00:00,,0,09:47:09(in);,0,Present,P,94
16-May-2018,95,Default,09:30,18:30,09:37:38,18:36:36,08:59,00:00,00:00,,0,09:37:38(in);18:36:36(in);,0,Present,P,95
17-May-2018,95,Default,09:30,18:30,09:35:03,,00:00,00:00,00:00,,0,09:35:03(in);,0,Present,P,95
16-May-2018,96,Default,09:30,18:30,08:56:04,18:19:20,09:00,00:00,00:00,,0,08:56:04(in);18:19:20(in);,23,Present,P,96
17-May-2018,96,Default,09:30,18:30,08:57:22,,00:00,00:00,00:00,,0,08:57:22(in);,0,Present,P,96
16-May-2018,97,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,97
17-May-2018,97,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,97
16-May-2018,98,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,98
17-May-2018,98,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,98
16-May-2018,99,Default,09:30,18:30,09:58:16,18:28:04,08:30,00:28,00:00,,0,09:58:16(in);18:28:04(in);,0,Present,P,99
17-May-2018,99,Default,09:30,18:30,09:45:49,,00:00,00:16,00:00,,0,09:45:49(in);,0,Present,P,99
16-May-2018,100,Default,09:30,18:30,08:42:31,19:02:57,09:00,00:00,00:00,,0,08:42:31(in);19:02:57(in);,80,Present,P,100
17-May-2018,100,Default,09:30,18:30,08:54:51,,00:00,00:00,00:00,,0,08:54:51(in);,0,Present,P,100
16-May-2018,101,Default,09:30,18:30,09:14:23,18:33:42,09:00,00:00,00:00,,0,09:14:23(in);18:33:42(in);,19,Present,P,101
17-May-2018,101,Default,09:30,18:30,09:04:40,,00:00,00:00,00:00,,0,09:04:40(in);,0,Present,P,101
16-May-2018,102,Default,09:30,18:30,10:14:45,14:28:15,04:14,00:45,04:02,,0,10:14:45(in);14:28:15(in);,0,1/2Present,1/2P,102
17-May-2018,102,Default,09:30,18:30,09:58:27,,00:00,00:28,00:00,,0,09:58:27(in);,0,Present,P,102
16-May-2018,103,Default,09:30,18:30,10:07:12,18:35:22,08:28,00:37,00:00,,0,10:07:12(in);18:35:22(in);,0,Present,P,103
17-May-2018,103,Default,09:30,18:30,10:02:00,,00:00,00:32,00:00,,0,10:02:00(in);,0,Present,P,103
16-May-2018,104,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,104
17-May-2018,104,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,104
